Kira Ücreti,Küme
14500,0
75000,0
17500,0
38000,0
12500,0
16000,0
17000,0
12000,0
26000,0
12500,0
32000,0
22000,0
12000,0
18500,0
30000,0
17000,0
18000,0
21500,0
19300,0
20000,0
14500,0
16500,0
25000,0
20500,0
20000,0
27000,0
18000,0
17000,0
16500,0
16500,0
37000,0
22000,0
16500,0
30000,0
28000,0
33500,0
20000,0
16000,0
23500,0
25000,0
20000,0
21000,0
20000,0
19000,0
23000,0
15000,0
18500,0
23000,0
17500,0
12000,0
16000,0
22500,0
12750,0
18500,0
14000,0
16500,0
17500,0
20000,0
13000,0
15500,0
27500,0
15000,0
20000,0
30000,0
25000,0
15000,0
20000,0
18000,0
15000,0
23000,0
26000,0
17000,0
17000,0
15000,0
20000,0
22000,0
15000,0
15500,0
19000,0
15000,0
21000,0
15500,0
40000,0
18000,0
23000,0
20000,0
15000,0
21000,0
50000,0
25000,0
17000,0
17000,0
20000,0
33000,0
20000,0
39000,0
20000,0
25000,0
23000,0
400,0
28000,0
20000,0
13000,0
22000,0
21000,0
18000,0
15000,0
23000,0
14500,0
18000,0
17500,0
29000,0
18000,0
17500,0
20000,0
17000,0
18500,0
20000,0
16500,0
15500,0
10500,0
16500,0
18000,0
22000,0
18000,0
14000,0
15000,0
20500,0
22000,0
19000,0
16000,0
300,0
15500,0
50000,0
15000,0
14200,0
20000,0
14000,0
17000,0
18000,0
15500,0
17500,0
20000,0
18000,0
16000,0
17000,0
17500,0
16000,0
17500,0
25000,0
20000,0
20000,0
24000,0
12000,0
19000,0
15500,0
200,0
12500,0
16000,0
11500,0
10500,0
13500,0
23000,0
16000,0
15000,0
35000,0
20000,0
30000,0
15300,0
20000,0
17000,0
15000,0
19000,0
13000,0
30000,0
15000,0
15000,0
18000,0
16000,0
16000,0
15000,0
20000,0
14000,0
21500,0
200,0
29000,0
25000,0
19000,0
15500,0
30000,0
23000,0
18000,0
17000,0
21000,0
16500,0
21000,0
22000,0
14500,0
14000,0
16000,0
14000,0
17000,0
20000,0
14000,0
18000,0
20000,0
16500,0
15000,0
15000,0
12000,0
25000,0
27000,0
20000,0
17250,0
20000,0
22000,0
15000,0
17000,0
13000,0
16000,0
15500,0
10000,0
20000,0
25000,0
23000,0
16000,0
25000,0
20000,0
15000,0
18000,0
15000,0
30000,0
18000,0
15000,0
19000,0
18500,0
23000,0
20000,0
20000,0
21000,0
35000,0
22000,0
26000,0
20000,0
38000,0
45000,0
17000,0
15000,0
15000,0
19450,0
24000,0
15000,0
19500,0
18000,0
16500,0
19000,0
13500,0
15000,0
26000,0
22000,0
18000,0
17000,0
12000,0
20000,0
15000,0
15000,0
17000,0
15000,0
18000,0
15000,0
25000,0
13000,0
21000,0
20000,0
17000,0
17000,0
30000,0
25000,0
20000,0
22000,0
15000,0
10000,0
15000,0
15000,0
24000,0
20000,0
9000,0
17500,0
15500,0
21000,0
20000,0
13000,0
17000,0
20000,0
12000,0
18500,0
13500,0
17000,0
400,0
13500,0
60000,0
15000,0
19000,0
26000,0
24000,0
14500,0
15000,0
17000,0
24000,0
20000,0
15000,0
20000,0
20000,0
35000,0
24000,0
13000,0
25500,0
2750000,2
21000,0
27500,0
350,0
11000,0
25000,0
15000,0
18000,0
20500,0
26500,0
20000,0
17000,0
19000,0
15000,0
22000,0
25000,0
25000,0
17500,0
20000,0
22000,0
26000,0
21500,0
14000,0
13000,0
13000,0
15000,0
15000,0
18500,0
18000,0
19000,0
15000,0
25000,0
26000,0
24000,0
17000,0
25500,0
14000,0
15000,0
15000,0
36000,0
18000,0
20000,0
20000,0
16000,0
21500,0
15000,0
25000,0
19500,0
20000,0
16500,0
24000,0
14500,0
25000,0
12000,0
23000,0
15250,0
25000,0
15000,0
18500,0
26000,0
17000,0
17500,0
20000,0
16950,0
20000,0
27000,0
15000,0
28000,0
32000,0
200,0
14500,0
16000,0
15000,0
18500,0
17000,0
20000,0
18000,0
9300,0
23000,0
20000,0
18000,0
20000,0
17000,0
25500,0
15500,0
25000,0
11500,0
15000,0
30000,0
200,0
22000,0
25000,0
18500,0
21000,0
17000,0
14000,0
11000,0
13000,0
18000,0
26500,0
20000,0
23000,0
22500,0
21000,0
23000,0
25000,0
17000,0
32500,0
22000,0
20000,0
22500,0
18000,0
18000,0
23000,0
20000,0
18000,0
25000,0
12500,0
25000,0
14000,0
23000,0
17000,0
17000,0
36000,0
17000,0
25000,0
14000,0
3100000,1
13000,0
27000,0
15000,0
15000,0
20000,0
14000,0
14000,0
14000,0
26000,0
25000,0
25000,0
25000,0
18250,0
13250,0
13000,0
13000,0
13000,0
22000,0
15000,0
15000,0
11000,0
16500,0
16000,0
16000,0
16500,0
20000,0
22000,0
21500,0
18250,0
12500,0
20000,0
12999,0
20000,0
20000,0
14000,0
15000,0
13500,0
15500,0
25000,0
45000,0
13000,0
14000,0
20000,0
18000,0
15000,0
15500,0
13000,0
12000,0
15000,0
18000,0
17000,0
12000,0
20000,0
16000,0
23000,0
20000,0
13000,0
19000,0
26000,0
